,delta_z,n_ms_site_0,n_ms_site_1,alpha_d_site_0,alpha_d_site_1,alpha_a,d_dist_site_0,d_dist_site_1,age_ms_range_site_0_lo,age_ms_range_site_0_hi,age_ms_range_site_1_lo,age_ms_range_site_1_hi,b0,sig_s_site_0,sig_s_site_1,alpha_site_0,alpha_site_1,n_hc,sig_b_site_0,sig_b_site_1,age_hc_range_site_0,age_hc_range_site_1,gamma_site_0,gamma_site_1
0,0.8083278042847936,50.0,50.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
1,0.9946496315765168,100.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
2,1.6797775910808637,250.0,250.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
3,1.5607747159990764,500.0,500.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
4,-1.630593662642132,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
5,0.8625229424856065,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
6,1.2622488954817734,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
7,1.9191252130911383,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
8,0.38997409914274445,250.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
9,1.1614497063543168,250.0,100.0,-16.0,-16.0,-3.0,0.75,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
10,1.881142638010939,250.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
11,2.297847706438234,250.0,100.0,-16.0,-16.0,-3.0,0.25,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
12,1.9420389203318775,250.0,100.0,-16.0,-16.0,-3.0,0.15,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
13,0.45481129667299547,250.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
14,-0.7623891222228779,250.0,100.0,-16.0,-16.0,-3.0,0.88,0.75,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
15,-0.8960406331496442,250.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
16,0.5656431461892817,250.0,100.0,-16.0,-16.0,-3.0,0.88,0.25,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
17,0.6074428578754876,250.0,100.0,-16.0,-16.0,-3.0,0.88,0.15,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
18,-0.1021477537572574,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.9,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
19,0.7349791011907602,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.8,1.2,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
20,1.6243081327742246,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
21,2.3407716764840494,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.6,1.4,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
22,2.993651362440258,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.5,1.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
23,1.559637728779732,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,30.0,20.0,45.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
24,1.1517745751617519,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
25,1.5043226536466523,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,60.0,20.0,45.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
26,1.3720285999301653,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,75.0,20.0,45.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
27,1.2623686106322374,250.0,50.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
28,1.4390690133861528,250.0,100.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
29,1.2267204633731688,250.0,250.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
30,1.7555237241251833,250.0,500.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
31,1.2429947446867151,250.0,750.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
32,0.3063972189707724,50.0,250.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
33,0.781068424132691,100.0,250.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
34,1.8511530968488705,250.0,250.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
35,2.1394347959447053,500.0,250.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
36,1.9627551113469075,750.0,250.0,-16.0,-16.0,-3.0,0.65,0.88,20.0,45.0,20.0,75.0,1644.0,16.0,16.0,0.7,1.3,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
